topic,source_name,tier,url_rss,score,priority,language
ia,AI Snake Oil,authority,https://www.aisnakeoil.com/feed,85,1,en
ia,Latent Space,authority,https://www.latent.space/feed,90,1,en
ia,SemiAnalysis,authority,https://www.semianalysis.com/feed,90,1,en
ia,Fabricated Knowledge,specialist,https://www.fabricatedknowledge.com/feed,85,1,en
ia,The Algorithmic Bridge,specialist,https://thealgorithmicbridge.substack.com/feed,75,2,en
ia,Import AI (Jack Clark),authority,https://importai.substack.com/feed,90,1,en
ia,Interconnects (Nathan Lambert),specialist,https://www.interconnects.ai/feed,85,1,en
ia,Transformer Circuits (Anthropic),corporate,https://transformer-circuits.pub/rss.xml,90,1,en
ia,The Gradient,specialist,https://thegradient.pub/rss/,80,2,en
ia,Ahead of AI (Sebastian Raschka),specialist,https://magazine.sebastianraschka.com/feed,85,1,en
ia,AI Supremacy,specialist,https://aisupremacy.substack.com/feed,70,2,en
ia,The Batch (DeepLearning.AI),corporate,https://www.deeplearning.ai/the-batch/feed/,85,1,en
ia,Last Week in AI,specialist,https://lastweekin.ai/feed,75,2,en
ia,Davis Summarizes Papers,specialist,https://dblalock.substack.com/feed,80,2,en
ia,Chip Huyen,specialist,https://huyenchip.com/feed.xml,85,1,en
general,404 Media,authority,https://www.404media.co/rss/,90,1,en
general,The Markup,authority,https://themarkup.org/feeds/rss.xml,90,1,en
general,Semafor Tech,authority,https://www.semafor.com/vertical/tech/rss.xml,85,1,en
attention,Garbage Day,specialist,https://www.garbageday.email/feed,80,1,en
info,Platformer,authority,https://www.platformer.news/rss/,90,1,en
info,Big Technology,specialist,https://bigtechnology.substack.com/feed,80,1,en
ia,Alignment Forum,authority,https://www.alignmentforum.org/feed.xml,85,1,en
ia,LessWrong AI,specialist,https://www.lesswrong.com/feed.xml?view=ai,80,2,en
ia,80000 Hours,specialist,https://80000hours.org/feed/,75,2,en
ia,MIRI Blog,specialist,https://intelligence.org/blog/feed/,80,2,en
general,Astral Codex Ten,authority,https://www.astralcodexten.com/feed,85,1,en
ia,AI Alignment Newsletter,specialist,https://rohinshah.com/alignment-newsletter/feed/,80,2,en
ia,The Zvi,specialist,https://thezvi.substack.com/feed,80,1,en
deals,Not Boring (Packy McCormick),authority,https://www.notboring.co/feed,90,1,en
deals,The Generalist,authority,https://www.generalist.com/feed,85,1,en
deals,Newcomer (Eric Newcomer),authority,https://www.newcomer.co/feed,90,1,en
macro,The Diff (Byrne Hobart),authority,https://www.thediff.co/feed,90,1,en
deals,Lenny's Newsletter,specialist,https://www.lennysnewsletter.com/feed,85,1,en
deals,Elad Gil Blog,authority,https://blog.eladgil.com/feeds/posts/default,85,1,en
deals,Contrary Research,specialist,https://research.contrary.com/feed,80,2,en
deals,CB Insights,specialist,https://www.cbinsights.com/research/feed/,80,1,en
deals,Axios Pro Rata,authority,https://www.axios.com/pro-rata/feed,85,1,en
deals,Term Sheet (Fortune),authority,https://fortune.com/tag/term-sheet/feed/,80,1,en
deals,StrictlyVC,specialist,https://www.strictlyvc.com/feed/,80,1,en
energy,Volts (David Roberts),authority,https://www.volts.wtf/feed,90,1,en
energy,Canary Media,authority,https://www.canarymedia.com/feed/,85,1,en
energy,Heatmap News,authority,https://heatmap.news/feed.xml,85,1,en
energy,The Cool Down,generalist,https://www.thecooldown.com/feed/,70,2,en
energy,Carbon Brief,authority,https://www.carbonbrief.org/feed,90,1,en
energy,Recharge News,specialist,https://www.rechargenews.com/rss,80,1,en
energy,Energy Monitor,specialist,https://www.energymonitor.ai/feed/,80,1,en
energy,Transition Zero,specialist,https://www.transitionzero.org/feed,75,2,en
health,Out-of-Pocket,specialist,https://www.outofpocket.health/feed,85,1,en
health,Second Opinion,specialist,https://www.secondopinionnewsletter.com/feed,80,2,en
health,In the Pipeline (Derek Lowe),authority,https://www.science.org/blogs/pipeline/feed,90,1,en
health,Timmerman Report,authority,https://timmermanreport.com/feed/,85,1,en
health,BioCentury,authority,https://www.biocentury.com/feed,85,1,en
health,Drug Channels,specialist,https://www.drugchannels.net/feeds/posts/default,80,2,en
health,Healthcare Dive,specialist,https://www.healthcaredive.com/feeds/news/,80,1,en
health,Rock Health,specialist,https://rockhealth.com/feed/,80,2,en
regulation,Lawfare,authority,https://www.lawfaremedia.org/feed,90,1,en
regulation,Just Security,authority,https://www.justsecurity.org/feed/,85,1,en
asia,Sinocism (Bill Bishop),authority,https://sinocism.com/feed,95,1,en
asia,ChinaTalk,authority,https://www.chinatalk.media/feed,90,1,en
macro,Noahpinion (Noah Smith),authority,https://www.noahpinion.blog/feed,85,1,en
regulation,Persuasion (Yascha Mounk),specialist,https://www.persuasion.community/feed,80,2,en
macro,Adam Tooze Chartbook,authority,https://adamtooze.substack.com/feed,90,1,en
asia,China Project,specialist,https://thechinaproject.com/feed/,80,1,en
asia,Pekingnology,specialist,https://www.pekingnology.com/feed,80,2,en
macro,Apricitas Economics,specialist,https://www.apricitas.io/feed,85,1,en
macro,Odd Lots (Bloomberg),authority,https://feeds.bloomberg.com/podcasts/odd_lots.xml,85,1,en
cyber,Risky Business,authority,https://risky.biz/feeds/risky-business/,90,1,en
cyber,This Week in Security,specialist,https://thisweekin4.security/feed,75,2,en
cyber,Darknet Diaries,specialist,https://darknetdiaries.com/feed/,80,2,en
